6,Positions,Positions,Positions,Positions,Positions,Positions,Positions,Positions,Positions,Positions,Positions,Positions,Positions,Positions,,,,,,,,
7,Time,Position,Symbol,Type,Volume,Price,S / L,T / P,Time,Price,Commission,Swap,Profit,Profit,,,,,,,,
116,2024.10.09 20:00:00,284116938,US30,buy,505057,505057,505057,505057,505057,505057,505057,505057,0.01,42428.15,42280.90,42809.85,2024.10.10 12:00:00,42461.8,-0.02,-0.25,3.37,3.37
117,2024.10.09 20:00:01,284116949,US30,buy,505065,505065,505065,505065,505065,505065,505065,505065,0.01,42428.15,42181.62,42708.52,2024.10.10 20:00:00,42413.85,-0.02,-0.25,-1.43,-1.43
118,2024.10.10 12:00:00,284320903,US30,buy,505018,505018,505018,505018,505018,505018,505018,505018,0.01,42464.80,42233.62,42895.6,2024.10.11 16:00:00,42466.3,-0.02,-0.25,0.15,0.15
119,2024.10.10 12:00:00,284320925,US30,sell,505035,505035,505035,505035,505035,505035,505035,505035,0.01,42461.80,42650.60,42220.18,2024.10.11 16:33:45,42651.8,-0.02,-0.25,-19.0,-19.0
120,2024.10.10 17:00:00,284510112,DAX40,sell,69021,69021,69021,69021,69021,69021,69021,69021,0.01,19159.30,19517.39,18893.91,2024.10.14 16:50:06,19519.8,-0.02,-1.2,-39.39,-39.39
121,2024.10.10 20:00:01,284607701,DAX40,buy,69038,69038,69038,69038,69038,69038,69038,69038,0.01,19221.50,18892.66,19487.37,2024.10.11 01:05:06,19227.0,-0.02,-0.11,0.6,0.6
122,2024.10.11 04:00:03,284680929,US30,buy,505028,505028,505028,505028,505028,505028,505028,505028,0.01,42493.90,42271.64,42992.72,2024.10.14 18:20:14,42992.72,-0.02,-2.5,49.88,49.88
123,2024.10.11 16:00:03,284927961,SP500,buy,69042,69042,69042,69042,69042,69042,69042,69042,0.01,5780.80,5696.82,5870.1,2024.10.14 22:49:19,5870.1,-0.02,-0.4,8.93,8.93
124,2024.10.11 20:00:00,285062514,US30,buy,505035,505035,505035,505035,505035,505035,505035,505035,0.01,42770.05,42578.25,43008.67,2024.10.14 18:41:08,43008.67,-0.02,-2.5,23.86,23.86
125,2024.10.14 16:00:00,285438225,US30,sell,505018,505018,505018,505018,505018,505018,505018,505018,0.01,42807.00,43038.18,42376.2,2024.10.14 18:58:07,43038.5,-0.02,0.0,-23.15,-23.15
126,2024.10.15 18:00:00,286081562,DAX40,sell,69021,69021,69021,69021,69021,69021,69021,69021,0.01,19513.90,19872.99,19249.51,2024.10.30 15:05:26,19249.51,-0.02,-3.16,28.63,28.63
